Year,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NET_WORTH_GROWTH,SALES_REV_TURN,RETURN_ON_ASSET,IS_EPS,WACC
2003-01-01,PAG,3.563,-12.1772,-12.2135,34.961,47.5996,496.05,13.9914,,6.1888
2004-01-01,PAG,6.0962,-9.7442,-10.0131,37.9255,-4.1582,624.6,19.3934,,5.5816
2005-01-01,PAG,8.6294,-7.3112,-7.8127,40.89,28.6541,746.47,13.0924,,6.2159
2006-01-01,PAG,4.9794,5.1646,0.0,9.7532,87.6649,1011.86,27.8073,,7.3973
2007-01-01,PAG,20.9939,5.5874,2.5695,54.696,440.8676,1359.3948,20.4616,42.94,10.0236
2008-01-01,PAG,22.8146,5.5874,3.023,59.693,14.2542,1923.4777,16.2179,21.35,6.9974
2009-01-01,PAG,22.8146,5.5874,3.023,59.693,12.2085,2546.5132,16.434,28.36,10.1526
2010-01-01,PAG,26.9993,5.5874,3.023,72.2155,14.0591,3393.7991,18.3377,11.6496,9.5749
2011-01-01,PAG,23.2371,5.5874,3.023,60.9573,24.992,4915.6159,20.961,52.4917,9.9221
2012-01-01,PAG,23.2371,5.5874,3.023,60.9573,33.949,6834.0937,25.3323,80.68,9.7377
2013-01-01,PAG,23.2371,5.5874,3.023,60.9573,28.7801,8634.6413,26.6899,100.89,9.1456
2014-01-01,PAG,24.2833,5.5874,3.023,64.0879,35.3543,11730.9426,26.5752,137.87,10.5655
2015-01-01,PAG,28.4579,1.2685,7.8295,76.0987,33.8266,15139.652,25.9792,175.75,8.4855
2016-01-01,PAG,29.3834,1.2685,10.6106,76.0987,37.0017,17749.06,26.1672,207.57,10.0329
2017-01-01,PAG,37.451,16.0375,17.5635,78.5972,25.6499,21057.59,25.3584,238.74,11.268
2018-01-01,PAG,38.306,16.0375,20.133,78.5972,27.2641,25180.0,27.0391,311.08,10.6562
2019-01-01,PAG,46.4138,32.7394,27.7811,78.5972,-8.5338,28076.5,28.5158,353.19,10.7763
2020-01-01,PAG,51.5341,46.0284,29.867,78.5972,5.7918,28938.2,23.972,307.72,15.0093
2021-01-01,PAG,56.2921,44.9109,32.7086,91.1198,7.9286,28329.62,21.2015,305.35,9.2638
2022-01-01,PAG,54.0388,38.1456,32.7086,91.1198,23.0247,38864.65,28.188,481.03,10.5085
2023-01-01,PAG,54.0388,38.1456,32.7086,91.1198,25.943,47886.396,23.8033,510.0442,10.1647
2003-01-01,RW,11.7143,-11.8798,-13.4771,60.3154,,12137.9404,,14.6118,4.5123
2004-01-01,RW,13.1418,-10.3448,-11.7554,61.3428,9.8232,12379.9053,7.0759,22.4266,5.288
2005-01-01,RW,14.5693,-8.8099,-10.0336,62.3702,5.7591,14400.9131,4.3566,14.8366,6.9495
2006-01-01,RW,15.9968,-7.2749,-8.3119,63.3976,8.4122,16829.0723,5.5439,22.1716,8.2663
2007-01-01,RW,17.4243,-5.74,-6.5901,64.425,12.6606,20406.7656,4.5888,22.8063,7.804
2008-01-01,RW,21.0542,0.0,0.0,63.0042,-63.84,23633.882,0.4527,2.3506,8.752
2009-01-01,RW,20.1288,0.0,0.0,60.2348,134.4592,25594.87,-6.7495,-36.8728,10.2787
2010-01-01,RW,25.2389,0.0,0.0,75.5268,-3.3487,25078.286,-1.3889,-7.5,11.1316
2011-01-01,RW,23.2673,0.0,0.0,69.6267,3.7673,29962.769,1.5092,8.75,12.9023
2012-01-01,RW,25.2389,0.0,0.0,75.5268,11.6517,35843.881,4.0924,25.38,10.029
2013-01-01,RW,25.2389,0.0,0.0,75.5268,1.2149,39971.691,0.7017,4.68,7.1194
2014-01-01,RW,17.111,0.0,0.0,51.2041,6.326,44606.824,2.4957,17.53,10.7827
2015-01-01,RW,25.43,0.0,0.0,76.0987,5.1318,52459.25,2.4766,18.38,10.5016
2016-01-01,RW,25.43,0.0,0.0,76.0987,8.4977,51041.83,1.7686,13.82,10.0568
2017-01-01,RW,36.7267,17.3059,16.6264,76.0987,0.0465,53913.23,0.5016,4.16,9.295
2018-01-01,RW,38.2456,17.3059,18.682,78.5972,8.3027,59064.069,2.37,21.93,9.8173
2019-01-01,RW,37.964,16.4603,18.682,78.5972,7.8233,65822.834,2.6302,27.37,9.7572
2020-01-01,RW,37.964,16.4603,18.682,78.5972,21.6057,64823.671,2.7218,31.44,11.6772
2021-01-01,RW,37.964,16.4603,18.682,78.5972,-11.7245,34464.678,-4.1006,-44.63,9.2304
2022-01-01,RW,37.964,16.4603,18.682,78.5972,12.4792,61785.13,3.6893,39.11,10.0947
2023-01-01,RW,37.964,16.4603,18.682,78.5972,22.885,82147.183,6.7954,79.45,9.4539
2003-01-01,WLSI,-9.2461,-39.2514,-30.5484,41.8724,11.7249,3031.2219,4.4714,0.4292,4.9896
2004-01-01,WLSI,-5.7115,-34.5387,-26.7842,44.004,24.6036,3739.179,6.168,0.6405,5.6604
2005-01-01,WLSI,-2.177,-29.826,-23.0201,46.1357,52.993,4695.7998,4.7216,0.5851,7.3139
2006-01-01,WLSI,1.3575,-25.1132,-19.256,48.2673,54.2367,6734.9199,2.9831,0.5573,6.4283
2007-01-01,WLSI,4.8921,-20.4005,-15.4919,50.399,-3.4059,12408.5,2.4255,0.6291,5.7718
2008-01-01,WLSI,8.4266,-15.6878,-11.7278,52.5306,-1.7381,15803.0195,-0.0063,-0.0021,3.2548
2009-01-01,WLSI,11.9611,-10.9751,-7.9637,54.6622,-16.0741,9863.31,-2.8597,-1.047,9.5228
2010-01-01,WLSI,15.4957,-6.2623,-4.1996,56.7939,17.6256,19371.62,6.0544,2.1766,9.1569
2011-01-01,WLSI,20.1288,0.0,0.0,60.2348,28.5723,18564.87,0.0514,0.016,5.9903
2012-01-01,WLSI,20.1288,0.0,0.0,60.2348,11.8754,32205.46,-0.4164,-0.134,5.8097
2013-01-01,WLSI,16.9902,0.0,0.0,50.8429,33.3023,36473.12,6.0814,2.255,8.6795
2014-01-01,WLSI,23.2874,15.0408,1.0883,53.6123,12.0703,43730.25,2.0401,0.9191,9.7959
2015-01-01,WLSI,44.4824,29.0849,25.6348,78.5972,29.0765,53025.11,9.9375,5.376,9.5572
2016-01-01,WLSI,52.2583,43.4612,34.6131,78.5972,37.5398,52967.83,12.0299,7.33,11.3625
2017-01-01,WLSI,37.7226,17.6382,16.7775,78.5972,21.6796,57704.55,5.1531,3.56,10.3378
2018-01-01,WLSI,47.6813,28.9641,35.3688,78.5972,8.6988,53302.64,5.2905,3.83,10.7814
2019-01-01,WLSI,40.3682,17.6382,24.7279,78.5972,6.6642,58152.77,2.8039,2.09,11.0895
2020-01-01,WLSI,47.7316,34.3401,30.1391,78.5972,6.9345,60238.92,6.3214,5.05,11.1891
2021-01-01,WLSI,50.3672,33.2226,39.1778,78.5972,22.6318,65940.99,6.3536,5.37,8.8694
2022-01-01,WLSI,60.9697,64.029,40.2056,78.5972,8.972,83467.47,6.6373,6.06,9.3318
2023-01-01,WLSI,60.9697,64.029,40.2056,78.5972,2.9239,80937.6,2.1986,2.02,9.3952
2003-01-01,VTEX,12.8091,9.5027,-4.7156,33.5556,9.8162,9987.8477,4.1786,2.6746,3.3577
2004-01-01,VTEX,13.964,9.1222,-3.6113,36.2912,12.6841,12041.3145,5.6243,3.6974,4.0115
2005-01-01,VTEX,15.1189,8.7418,-2.507,39.0268,59.2066,19045.912,8.6976,4.6413,5.9768
2006-01-01,VTEX,16.2739,8.3614,-1.4027,41.7625,19.4385,19481.075,9.513,7.2128,7.659
2007-01-01,VTEX,17.4288,7.981,-0.2985,44.4981,14.3041,21621.2969,6.4583,6.5558,6.5529
2008-01-01,VTEX,17.3524,0.0,0.0,51.9266,9.7848,23877.3633,3.588,4.7669,4.5399
2009-01-01,VTEX,21.7483,8.9701,4.2322,51.9266,9.5182,29654.21,3.8688,6.0476,4.5353
2010-01-01,VTEX,21.7483,8.9701,4.2322,51.9266,15.9739,33506.724,5.3797,9.2336,9.008
2011-01-01,VTEX,21.7483,8.9701,4.2322,51.9266,41.1416,44184.583,9.3767,17.794,10.2897
2012-01-01,VTEX,21.7483,8.9701,4.2322,51.9266,-2.5403,46407.102,2.338,4.522,9.1041
2013-01-01,VTEX,26.1945,8.9701,4.2322,65.2318,13.5875,49720.744,5.588,11.4,8.2999
2014-01-01,VTEX,26.1945,8.9701,4.2322,65.2318,24.9569,61664.319,9.8044,22.98,9.2918
2015-01-01,VTEX,24.0519,2.084,8.8573,61.0777,7.767,67859.601,5.251,12.804,9.4844
2016-01-01,VTEX,22.0803,2.084,8.8573,55.1776,18.5052,57465.051,8.2541,20.178,9.9588
2017-01-01,VTEX,30.5905,2.084,13.422,76.0987,6.8336,60299.5,13.0595,32.622,9.1607
2018-01-01,VTEX,33.0953,2.084,13.422,83.5942,15.9242,62482.7,7.3752,20.9077,9.222
2019-01-01,VTEX,33.0953,2.084,13.422,83.5942,12.8748,68779.2,8.4671,25.8754,9.2408
2020-01-01,VTEX,33.3769,2.9296,13.422,83.5942,8.1622,67350.0,6.2877,20.444,10.898
2021-01-01,VTEX,34.3024,2.9296,16.2031,83.5942,6.951,60632.8,4.3684,14.6606,8.2907
2022-01-01,VTEX,34.3024,2.9296,16.2031,83.5942,19.101,94015.8,15.0212,272.9,8.2352
2023-01-01,VTEX,34.3024,2.9296,16.2031,83.5942,11.1592,101374.9,7.1278,137.5233,9.1034
2003-01-01,ALOK,19.7051,5.731,1.0069,52.2524,,,,,
2004-01-01,ALOK,20.2362,5.6311,1.4633,53.4867,,,,,
2005-01-01,ALOK,20.7672,5.5312,1.9197,54.721,,,,,
2006-01-01,ALOK,21.2983,5.4314,2.376,55.9553,,,,,
2007-01-01,ALOK,21.8294,5.3315,2.8324,57.1896,,18102.0,,8.7908,6.2447
2008-01-01,ALOK,18.9216,4.7116,0.0,51.9266,39.8293,22675.8008,2.9429,9.857,4.1025
2009-01-01,ALOK,22.704,4.7116,3.023,60.2348,34.961,30907.8,0.824,3.7657,5.8243
2010-01-01,ALOK,19.9276,4.7116,3.023,51.9266,44.2524,44243.4,1.1699,2.5349,6.8021
2011-01-01,ALOK,19.9276,4.7116,3.023,51.9266,0.2542,66057.2,2.0678,3.9421,7.9421
2012-01-01,ALOK,23.8708,2.99,0.4534,68.0012,2.4466,97762.6,0.4942,1.1477,5.2274
2013-01-01,ALOK,29.3029,3.8055,15.9613,68.0012,2.4466,131819.0,0.4942,9.56,10.7033
2014-01-01,ALOK,32.8538,7.2486,15.9613,75.1957,2.4466,131819.0,0.4942,9.56,10.9179
2015-01-01,ALOK,31.4254,5.527,7.4667,81.0957,25.0605,129160.0,-13.7594,-31.63,10.1125
2016-01-01,ALOK,28.7194,5.1948,4.6856,76.0987,-62.9135,87164.5,-9.3303,-22.71,9.09
2017-01-01,ALOK,28.991,6.9163,4.6856,75.1957,-62.9135,55079.9,-72.2839,-136.82,9.7126
2018-01-01,ALOK,27.3614,6.9163,4.6856,70.3191,12.3458,33522.4,11.3092,15.17,9.4312
2019-01-01,ALOK,25.9833,1.7517,5.7134,70.3191,15.7969,32976.8,7.2548,9.05,8.9304
2020-01-01,ALOK,27.0597,2.9296,9.5224,68.5731,-43.4584,38475.9,-43.3916,-15.19,9.1404
2021-01-01,ALOK,27.0597,2.9296,9.5224,68.5731,-1.4191,73095.0,-2.564,-0.42,9.4091
2022-01-01,ALOK,27.0597,2.9296,9.5224,68.5731,-5.5459,69372.9,-11.2241,-1.77,9.9572
2023-01-01,ALOK,22.8915,5.1317,3.7451,59.6582,,,,,
2003-01-01,ARVND,8.6959,-14.9806,-14.2249,55.1183,-0.9363,18074.4004,3.0951,5.4519,4.8905
2004-01-01,ARVND,10.5693,-12.5857,-12.0154,56.1371,40.7352,15298.7002,2.996,4.297,5.2193
2005-01-01,ARVND,12.4426,-10.1908,-9.8059,57.1558,12.6539,19608.0996,3.6231,5.7714,8.15
2006-01-01,ARVND,14.3159,-7.7959,-7.5964,58.1746,25.325,21218.5,2.2776,3.9947,8.6204
2007-01-01,ARVND,16.1893,-5.401,-5.3869,59.1933,-13.0867,21822.1992,3.0231,5.6243,7.4986
2008-01-01,ARVND,22.1004,0.0,0.0,66.1349,3.548,26740.2,0.3875,0.7418,4.8215
2009-01-01,ARVND,22.1004,0.0,0.0,66.1349,-20.5094,27098.3,-2.468,-4.63,10.1901
2010-01-01,ARVND,22.1004,0.0,0.0,66.1349,22.6169,32072.9,1.2191,2.18,11.2126
2011-01-01,ARVND,21.1749,0.0,0.0,63.3654,32.0504,38891.7,3.5793,6.89,12.5612
2012-01-01,ARVND,26.1543,12.1715,0.0,66.1349,19.6337,47198.8,8.3748,16.9,10.297
2013-01-01,ARVND,26.1543,12.1715,0.0,66.1349,11.1649,51729.3,4.2687,9.63,10.821
2014-01-01,ARVND,30.1781,19.4201,17.4123,53.6123,14.5964,68621.2,5.2056,13.71,11.3286
2015-01-01,ARVND,32.6225,19.7221,14.4498,63.5762,5.4549,78514.0,4.4475,13.21,10.6799
2016-01-01,ARVND,29.9266,12.3528,19.6493,57.6761,-2.8445,77767.7,3.8866,12.16,11.0699
2017-01-01,ARVND,33.0349,13.1984,22.2189,63.5762,34.7861,89172.5,3.7323,12.18,10.7004
2018-01-01,ARVND,33.3467,13.1984,20.6469,66.0747,6.0519,104072.4,3.2702,11.97,10.7278
2019-01-01,ARVND,35.5598,13.1984,20.6469,72.6972,-27.2919,69244.4,2.572,8.7477,9.3749
2020-01-01,ARVND,32.4917,2.4464,16.2636,78.5972,-1.5219,70840.3,1.3194,3.7,6.4667
2021-01-01,ARVND,43.2451,26.5177,24.4861,78.5972,0.3954,48860.5,-0.2379,-0.64,9.2663
2022-01-01,ARVND,51.8057,47.4479,29.2624,78.5972,8.5037,75939.1,3.3018,9.17,9.8734
2023-01-01,ARVND,51.8057,47.4479,29.2624,78.5972,13.3908,81153.9,5.535,15.51,10.1761
2003-01-01,BD,10.3306,0.0,0.0,44.6429,,22861.2,,3.67,9.7975
2004-01-01,BD,9.0909,0.0,0.0,39.2857,-13.2495,26078.5,0.6449,1.18,10.6332
2005-01-01,BD,9.0909,0.0,0.0,39.2857,6.0497,23276.8,0.5186,0.99,10.0196
2006-01-01,BD,9.0909,0.0,0.0,39.2857,-17.1311,18047.2,-2.1323,-4.41,11.497
2007-01-01,BD,9.0909,0.0,0.0,39.2857,-74.0056,18404.6,-3.1255,-6.13,10.8495
2008-01-01,BD,9.0909,0.0,0.0,39.2857,90.4887,25825.6,0.9039,1.7,10.6556
2009-01-01,BD,9.0909,0.0,0.0,39.2857,-67.1838,41923.1,26.625,60.1216,12.3081
2010-01-01,BD,9.0909,0.0,0.0,39.2857,-58.4067,18409.5,6.5615,15.87,11.5442
2011-01-01,BD,9.0909,0.0,0.0,39.2857,-58.4067,11592.8,-9.9284,-22.71,8.8865
2012-01-01,BD,9.0909,0.0,0.0,39.2857,-334.3042,19444.7,-10.3805,-22.29,9.7228
2013-01-01,BD,9.0909,0.0,0.0,39.2857,-70.5446,26737.3,-14.3035,-25.02,10.2461
2014-01-01,BD,9.429,0.0,0.0,40.7468,,,,,
2015-01-01,BD,9.3727,0.0,0.0,40.5032,,,,,
2016-01-01,BD,9.3163,0.0,0.0,40.2597,,,,,
2017-01-01,BD,9.26,0.0,0.0,40.0162,,,,,
2018-01-01,BD,9.2036,0.0,0.0,39.7727,,,,,
2019-01-01,BD,9.1473,0.0,0.0,39.5292,,,,,
2020-01-01,BD,9.0909,0.0,0.0,39.2857,,,,,
2021-01-01,BD,9.0346,0.0,0.0,39.0422,,,,,
2022-01-01,BD,8.9782,0.0,0.0,38.7987,,,,,
2023-01-01,BD,8.9219,0.0,0.0,38.5552,,,,,
2003-01-01,KTG,9.0909,0.0,0.0,39.2857,,,,,
2004-01-01,KTG,9.0909,0.0,0.0,39.2857,,,,,
2005-01-01,KTG,9.0909,0.0,0.0,39.2857,,,,,
2006-01-01,KTG,9.0909,0.0,0.0,39.2857,,4422.1005,,8.6286,9.6997
2007-01-01,KTG,9.0909,0.0,0.0,39.2857,51.5052,5110.9593,20.9828,14.8143,11.5021
2008-01-01,KTG,9.0909,0.0,0.0,39.2857,38.3208,5458.1668,19.7345,16.4929,13.6893
2009-01-01,KTG,9.0909,0.0,0.0,39.2857,21.8071,4848.111,14.7562,12.5501,12.0631
2010-01-01,KTG,9.0909,0.0,0.0,39.2857,9.9218,5114.116,11.0072,9.5563,11.2727
2011-01-01,KTG,9.0909,0.0,0.0,39.2857,17.35,5632.226,10.5251,10.7437,10.8644
2012-01-01,KTG,9.0909,0.0,0.0,39.2857,11.8373,6945.197,12.98,15.54,17.0663
2013-01-01,KTG,9.0909,0.0,0.0,39.2857,8.4815,4279.8,6.6899,8.16,10.2462
2014-01-01,KTG,9.0909,0.0,0.0,39.2857,16.7261,7463.041,14.0502,18.82,10.7293
2015-01-01,KTG,9.0909,0.0,0.0,39.2857,5.686,5569.955,5.4102,8.65,10.9203
2016-01-01,KTG,9.0909,0.0,0.0,39.2857,,,,,
2017-01-01,KTG,9.0909,0.0,0.0,39.2857,,,,,
2018-01-01,KTG,9.0909,0.0,0.0,39.2857,,,,,
2019-01-01,KTG,9.0909,0.0,0.0,39.2857,,,,,
2020-01-01,KTG,9.0909,0.0,0.0,39.2857,,,,,
2021-01-01,KTG,9.0909,0.0,0.0,39.2857,,,,,
2022-01-01,KTG,9.0909,0.0,0.0,39.2857,,,,,
2023-01-01,KTG,9.0909,0.0,0.0,39.2857,,,,,
